"country","continent","year","lifeExp","pop","gdpPercap"
"France","Europe",1952,67.41,42459667,7029.809327
"France","Europe",1957,68.93,44310863,8662.834898
"France","Europe",1962,70.51,47124000,10560.48553
"France","Europe",1967,71.55,49569000,12999.91766
"France","Europe",1972,72.38,51732000,16107.19171
"France","Europe",1977,73.83,53165019,18292.63514
"France","Europe",1982,74.89,54433565,20293.89746
"France","Europe",1987,76.34,55630100,22066.44214
"France","Europe",1992,77.46,57374179,24703.79615
"France","Europe",1997,78.64,58623428,25889.78487
"France","Europe",2002,79.59,59925035,28926.03234
"France","Europe",2007,80.657,61083916,30470.0167
