"country","continent","year","lifeExp","pop","gdpPercap"
"Czech Republic","Europe",1952,66.87,9125183,6876.14025
"Czech Republic","Europe",1957,69.03,9513758,8256.343918
"Czech Republic","Europe",1962,69.9,9620282,10136.86713
"Czech Republic","Europe",1967,70.38,9835109,11399.44489
"Czech Republic","Europe",1972,70.29,9862158,13108.4536
"Czech Republic","Europe",1977,70.71,10161915,14800.16062
"Czech Republic","Europe",1982,70.96,10303704,15377.22855
"Czech Republic","Europe",1987,71.58,10311597,16310.4434
"Czech Republic","Europe",1992,72.4,10315702,14297.02122
"Czech Republic","Europe",1997,74.01,10300707,16048.51424
"Czech Republic","Europe",2002,75.51,10256295,17596.21022
"Czech Republic","Europe",2007,76.486,10228744,22833.30851
