taxonID,family_genus,species,popular_name
BLCA,Blarina,carolinensis,southern short-tailed shrew
CRSP,Cricetidae,sp,rodents (general)
CRPA,Cryptotis,parva,North American least shrew
GLVO,Glaucomys,volans,Southern flying squirrel
MUMU,Mus,musculus,house mouse
NEFL,Neotoma,floridana,Eastern woodrat
OCNU,Ochrotomys,nuttalli,golden mouse
ORPA,Oryzomys,palustris,marsh rice rat
PEPO,Peromyscus,polionotus,oldfield mouse
PESP,Peromyscus, sp,deer mice (general)
PEGO,Peromyscus,gossypinus,cotton mouse
SCCA,Sciurus,carolinensis,Eastern grey squirrel
SIHI,Sigmodon,hispidus,hispid cotton rat
