"uid","domainID","siteID","plotID","date","night","eventID","setTraps","disturbedTraps","samplingEffort","samplingProtocol","identificationReferences","remarks","duplicateNightQF","missingRecordsPerBoutQF"
"49D57CC9A05C45519095FE63BDCE616B","D10","STER","STER_026","2014-05-21",1,"MAM.STER.2014.06",100,33,67,"NEON.DOC.000481vD","Reid, F. 2006. Peterson Field Guide to Mammals of North America. 4th Ed. Houghton Mifflin Company, New York, NY.","Bout was unsuccessful due lightening. ",1,1
"7F7DDD01DE31426EB8D84B35629B942F","D10","STER","STER_029","2014-05-22",1,"MAM.STER.2014.06",100,4,96,"NEON.DOC.000481vD","Reid, F. 2006. Peterson Field Guide to Mammals of North America. 4th Ed. Houghton Mifflin Company, New York, NY.","Bout not completed due to lightening",0,1
"85E5C539D03447C8B18918DF91DD9CE1","D10","STER","STER_026","2014-05-22",2,"MAM.STER.2014.06",100,10,90,"NEON.DOC.000481vD","Reid, F. 2006. Peterson Field Guide to Mammals of North America. 4th Ed. Houghton Mifflin Company, New York, NY.","Bout not completed due to lightening",0,1
"01AA87D5368F44FEAAB2D8E2C7C69653","D10","STER","STER_031","2014-05-22",1,"MAM.STER.2014.06",100,9,91,"NEON.DOC.000481vD","Reid, F. 2006. Peterson Field Guide to Mammals of North America. 4th Ed. Houghton Mifflin Company, New York, NY.",,0,1
"1EA14787A80E4BA1B553D7314903875C","D10","STER","STER_006","2014-06-19",1,"MAM.STER.2014.07",100,0,100,"NEON.DOC.000481vD","Reid, F. 2006. Peterson Field Guide to Mammals of North America. 4th Ed. Houghton Mifflin Company, New York, NY.",,0,0
"ED5D4C982B04483289A38025BDB626DF","D10","STER","STER_028","2014-06-19",1,"MAM.STER.2014.07",100,95,5,"NEON.DOC.000481vD","Reid, F. 2006. Peterson Field Guide to Mammals of North America. 4th Ed. Houghton Mifflin Company, New York, NY.","plot disturbed by rain and mud",0,0
"1C9E81B6A97D40C690C948A91443BA1B","D10","STER","STER_006","2014-06-20",2,"MAM.STER.2014.07",100,0,100,"NEON.DOC.000481vD","Reid, F. 2006. Peterson Field Guide to Mammals of North America. 4th Ed. Houghton Mifflin Company, New York, NY.",,0,0
"4DF7E931105146CE90368B904E1D8257","D10","STER","STER_028","2014-06-20",2,"MAM.STER.2014.07",100,2,98,"NEON.DOC.000481vD","Reid, F. 2006. Peterson Field Guide to Mammals of North America. 4th Ed. Houghton Mifflin Company, New York, NY.",,0,0
"3F8CE3EA987A4AE8BBBFAF04C07FC0E3","D10","STER","STER_026","2014-06-20",1,"MAM.STER.2014.07",100,0,100,"NEON.DOC.000481vD","Reid, F. 2006. Peterson Field Guide to Mammals of North America. 4th Ed. Houghton Mifflin Company, New York, NY.",,0,1
"8ADC213C56E8475DABD42528164C3587","D10","STER","STER_026","2014-06-21",2,"MAM.STER.2014.07",100,38,62,"NEON.DOC.000481vD","Reid, F. 2006. Peterson Field Guide to Mammals of North America. 4th Ed. Houghton Mifflin Company, New York, NY.",,1,1
"656FB5D47D9A45DBAD82AD7540853151","D10","STER","STER_006","2014-06-21",3,"MAM.STER.2014.07",100,0,100,"NEON.DOC.000481vD","Reid, F. 2006. Peterson Field Guide to Mammals of North America. 4th Ed. Houghton Mifflin Company, New York, NY.",,0,0
"5E2722606ACF46DB895EF9E25C0D445C","D10","STER","STER_028","2014-06-21",3,"MAM.STER.2014.07",100,0,100,"NEON.DOC.000481vD","Reid, F. 2006. Peterson Field Guide to Mammals of North America. 4th Ed. Houghton Mifflin Company, New York, NY.",,0,0
"8F3A75220B304875AB0ABD0EFDF02811","D10","STER","STER_031","2014-06-22",1,"MAM.STER.2014.07",100,0,100,"NEON.DOC.000481vD","Reid, F. 2006. Peterson Field Guide to Mammals of North America. 4th Ed. Houghton Mifflin Company, New York, NY.",,0,1
