"country","continent","year","lifeExp","pop","gdpPercap"
"Colombia","Americas",1952,50.643,12350771,2144.115096
"Colombia","Americas",1957,55.118,14485993,2323.805581
"Colombia","Americas",1962,57.863,17009885,2492.351109
"Colombia","Americas",1967,59.963,19764027,2678.729839
"Colombia","Americas",1972,61.623,22542890,3264.660041
"Colombia","Americas",1977,63.837,25094412,3815.80787
"Colombia","Americas",1982,66.653,27764644,4397.575659
"Colombia","Americas",1987,67.768,30964245,4903.2191
"Colombia","Americas",1992,68.421,34202721,5444.648617
"Colombia","Americas",1997,70.313,37657830,6117.361746
"Colombia","Americas",2002,71.682,41008227,5755.259962
"Colombia","Americas",2007,72.889,44227550,7006.580419
