"country","continent","year","lifeExp","pop","gdpPercap"
"Sweden","Europe",1952,71.86,7124673,8527.844662
"Sweden","Europe",1957,72.49,7363802,9911.878226
"Sweden","Europe",1962,73.37,7561588,12329.44192
"Sweden","Europe",1967,74.16,7867931,15258.29697
"Sweden","Europe",1972,74.72,8122293,17832.02464
"Sweden","Europe",1977,75.44,8251648,18855.72521
"Sweden","Europe",1982,76.42,8325260,20667.38125
"Sweden","Europe",1987,77.19,8421403,23586.92927
"Sweden","Europe",1992,78.16,8718867,23880.01683
"Sweden","Europe",1997,79.39,8897619,25266.59499
"Sweden","Europe",2002,80.04,8954175,29341.63093
"Sweden","Europe",2007,80.884,9031088,33859.74835
