"country","continent","year","lifeExp","pop","gdpPercap"
"Bulgaria","Europe",1952,59.6,7274900,2444.286648
"Bulgaria","Europe",1957,66.61,7651254,3008.670727
"Bulgaria","Europe",1962,69.51,8012946,4254.337839
"Bulgaria","Europe",1967,70.42,8310226,5577.0028
"Bulgaria","Europe",1972,70.9,8576200,6597.494398
"Bulgaria","Europe",1977,70.81,8797022,7612.240438
"Bulgaria","Europe",1982,71.08,8892098,8224.191647
"Bulgaria","Europe",1987,71.34,8971958,8239.854824
"Bulgaria","Europe",1992,71.19,8658506,6302.623438
"Bulgaria","Europe",1997,70.32,8066057,5970.38876
"Bulgaria","Europe",2002,72.14,7661799,7696.777725
"Bulgaria","Europe",2007,73.005,7322858,10680.79282
