"country","continent","year","lifeExp","pop","gdpPercap"
"Mauritius","Africa",1952,50.986,516556,1967.955707
"Mauritius","Africa",1957,58.089,609816,2034.037981
"Mauritius","Africa",1962,60.246,701016,2529.067487
"Mauritius","Africa",1967,61.557,789309,2475.387562
"Mauritius","Africa",1972,62.944,851334,2575.484158
"Mauritius","Africa",1977,64.93,913025,3710.982963
"Mauritius","Africa",1982,66.711,992040,3688.037739
"Mauritius","Africa",1987,68.74,1042663,4783.586903
"Mauritius","Africa",1992,69.745,1096202,6058.253846
"Mauritius","Africa",1997,70.736,1149818,7425.705295
"Mauritius","Africa",2002,71.954,1200206,9021.815894
"Mauritius","Africa",2007,72.801,1250882,10956.99112
