"country","continent","year","lifeExp","pop","gdpPercap"
"Costa Rica","Americas",1952,57.206,926317,2627.009471
"Costa Rica","Americas",1957,60.026,1112300,2990.010802
"Costa Rica","Americas",1962,62.842,1345187,3460.937025
"Costa Rica","Americas",1967,65.424,1588717,4161.727834
"Costa Rica","Americas",1972,67.849,1834796,5118.146939
"Costa Rica","Americas",1977,70.75,2108457,5926.876967
"Costa Rica","Americas",1982,73.45,2424367,5262.734751
"Costa Rica","Americas",1987,74.752,2799811,5629.915318
"Costa Rica","Americas",1992,75.713,3173216,6160.416317
"Costa Rica","Americas",1997,77.26,3518107,6677.045314
"Costa Rica","Americas",2002,78.123,3834934,7723.447195
"Costa Rica","Americas",2007,78.782,4133884,9645.06142
