"country","continent","year","lifeExp","pop","gdpPercap"
"Finland","Europe",1952,66.55,4090500,6424.519071
"Finland","Europe",1957,67.49,4324000,7545.415386
"Finland","Europe",1962,68.75,4491443,9371.842561
"Finland","Europe",1967,69.83,4605744,10921.63626
"Finland","Europe",1972,70.87,4639657,14358.8759
"Finland","Europe",1977,72.52,4738902,15605.42283
"Finland","Europe",1982,74.55,4826933,18533.15761
"Finland","Europe",1987,74.83,4931729,21141.01223
"Finland","Europe",1992,75.7,5041039,20647.16499
"Finland","Europe",1997,77.13,5134406,23723.9502
"Finland","Europe",2002,78.37,5193039,28204.59057
"Finland","Europe",2007,79.313,5238460,33207.0844
