"country","continent","year","lifeExp","pop","gdpPercap"
"Greece","Europe",1952,65.86,7733250,3530.690067
"Greece","Europe",1957,67.86,8096218,4916.299889
"Greece","Europe",1962,69.51,8448233,6017.190733
"Greece","Europe",1967,71,8716441,8513.097016
"Greece","Europe",1972,72.34,8888628,12724.82957
"Greece","Europe",1977,73.68,9308479,14195.52428
"Greece","Europe",1982,75.24,9786480,15268.42089
"Greece","Europe",1987,76.67,9974490,16120.52839
"Greece","Europe",1992,77.03,10325429,17541.49634
"Greece","Europe",1997,77.869,10502372,18747.69814
"Greece","Europe",2002,78.256,10603863,22514.2548
"Greece","Europe",2007,79.483,10706290,27538.41188
