"country","continent","year","lifeExp","pop","gdpPercap"
"Netherlands","Europe",1952,72.13,10381988,8941.571858
"Netherlands","Europe",1957,72.99,11026383,11276.19344
"Netherlands","Europe",1962,73.23,11805689,12790.84956
"Netherlands","Europe",1967,73.82,12596822,15363.25136
"Netherlands","Europe",1972,73.75,13329874,18794.74567
"Netherlands","Europe",1977,75.24,13852989,21209.0592
"Netherlands","Europe",1982,76.05,14310401,21399.46046
"Netherlands","Europe",1987,76.83,14665278,23651.32361
"Netherlands","Europe",1992,77.42,15174244,26790.94961
"Netherlands","Europe",1997,78.03,15604464,30246.13063
"Netherlands","Europe",2002,78.53,16122830,33724.75778
"Netherlands","Europe",2007,79.762,16570613,36797.93332
