"country","continent","year","lifeExp","pop","gdpPercap"
"Romania","Europe",1952,61.05,16630000,3144.613186
"Romania","Europe",1957,64.1,17829327,3943.370225
"Romania","Europe",1962,66.8,18680721,4734.997586
"Romania","Europe",1967,66.8,19284814,6470.866545
"Romania","Europe",1972,69.21,20662648,8011.414402
"Romania","Europe",1977,69.46,21658597,9356.39724
"Romania","Europe",1982,69.66,22356726,9605.314053
"Romania","Europe",1987,69.53,22686371,9696.273295
"Romania","Europe",1992,69.36,22797027,6598.409903
"Romania","Europe",1997,69.72,22562458,7346.547557
"Romania","Europe",2002,71.322,22404337,7885.360081
"Romania","Europe",2007,72.476,22276056,10808.47561
