"country","continent","year","lifeExp","pop","gdpPercap"
"Venezuela","Americas",1952,55.088,5439568,7689.799761
"Venezuela","Americas",1957,57.907,6702668,9802.466526
"Venezuela","Americas",1962,60.77,8143375,8422.974165
"Venezuela","Americas",1967,63.479,9709552,9541.474188
"Venezuela","Americas",1972,65.712,11515649,10505.25966
"Venezuela","Americas",1977,67.456,13503563,13143.95095
"Venezuela","Americas",1982,68.557,15620766,11152.41011
"Venezuela","Americas",1987,70.19,17910182,9883.584648
"Venezuela","Americas",1992,71.15,20265563,10733.92631
"Venezuela","Americas",1997,72.146,22374398,10165.49518
"Venezuela","Americas",2002,72.766,24287670,8605.047831
"Venezuela","Americas",2007,73.747,26084662,11415.80569
