"country","continent","year","lifeExp","pop","gdpPercap"
"Lesotho","Africa",1952,42.138,748747,298.8462121
"Lesotho","Africa",1957,45.047,813338,335.9971151
"Lesotho","Africa",1962,47.747,893143,411.8006266
"Lesotho","Africa",1967,48.492,996380,498.6390265
"Lesotho","Africa",1972,49.767,1116779,496.5815922
"Lesotho","Africa",1977,52.208,1251524,745.3695408
"Lesotho","Africa",1982,55.078,1411807,797.2631074
"Lesotho","Africa",1987,57.18,1599200,773.9932141
"Lesotho","Africa",1992,59.685,1803195,977.4862725
"Lesotho","Africa",1997,55.558,1982823,1186.147994
"Lesotho","Africa",2002,44.593,2046772,1275.184575
"Lesotho","Africa",2007,42.592,2012649,1569.331442
