"country","continent","year","lifeExp","pop","gdpPercap"
"Liberia","Africa",1952,38.48,863308,575.5729961
"Liberia","Africa",1957,39.486,975950,620.9699901
"Liberia","Africa",1962,40.502,1112796,634.1951625
"Liberia","Africa",1967,41.536,1279406,713.6036483
"Liberia","Africa",1972,42.614,1482628,803.0054535
"Liberia","Africa",1977,43.764,1703617,640.3224383
"Liberia","Africa",1982,44.852,1956875,572.1995694
"Liberia","Africa",1987,46.027,2269414,506.1138573
"Liberia","Africa",1992,40.802,1912974,636.6229191
"Liberia","Africa",1997,42.221,2200725,609.1739508
"Liberia","Africa",2002,43.753,2814651,531.4823679
"Liberia","Africa",2007,45.678,3193942,414.5073415
